intent,pattern,response
fafsa_info,apply for aid,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
financial_aid_options,financial aid,Learn about financial aid options at NAU here: https://nau.edu/office-scholarships-financial-aid/.
application_deadlines,when to apply,Undergraduate priority deadlines are March 1 for Fall and September 15 for Spring.
application_deadlines,admission dates,Graduate application deadlines vary by program. Please check the specific program's page for details.
admission_process,application,"To apply to NAU, visit the Admissions page at https://nau.edu/admissions."
course_catalog,course catalog,You can browse NAU's course offerings here: https://catalog.nau.edu/Courses/.
campus_events,campus events,Check out upcoming campus events here: https://nau.edu/events/.
degree_programs,majors,Explore NAU's degree programs here: https://catalog.nau.edu/Catalog/.
student_organizations,clubs,Discover student organizations at NAU here: https://nau.edu/student-life/.
campus_events,events,Check out upcoming campus events here: https://nau.edu/events/.
student_organizations,student organizations,Discover student organizations at NAU here: https://nau.edu/student-life/.
on_campus_housing,on-campus housing,Explore on-campus housing options here: https://nau.edu/residence-life/.
on_campus_housing,residence halls,Explore on-campus housing options here: https://nau.edu/residence-life/.
financial_aid_options,scholarships,Learn about financial aid options at NAU here: https://nau.edu/office-scholarships-financial-aid/.
student_organizations,clubs,Discover student organizations at NAU here: https://nau.edu/student-life/.
admission_process,enroll,You can start your application process here: https://nau.edu/admissions.
fafsa_info,FAFSA,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
fafsa_info,financial aid application,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
campus_events,activities,Check out upcoming campus events here: https://nau.edu/events/.
housing_application,apply for housing,Submit your housing application through the Housing Portal: https://nau.edu/residence-life/housing-portal/.
fafsa_info,apply for aid,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
campus_events,events,Check out upcoming campus events here: https://nau.edu/events/.
fafsa_info,FAFSA,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
admission_process,apply,"To apply to NAU, visit the Admissions page at https://nau.edu/admissions."
admission_process,enroll,You can start your application process here: https://nau.edu/admissions.
application_deadlines,application deadline,Undergraduate priority deadlines are March 1 for Fall and September 15 for Spring.
student_organizations,student organizations,Discover student organizations at NAU here: https://nau.edu/student-life/.
fafsa_info,apply for aid,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
admission_process,application,You can start your application process here: https://nau.edu/admissions.
housing_application,apply for housing,Submit your housing application through the Housing Portal: https://nau.edu/residence-life/housing-portal/.
application_deadlines,application deadline,Graduate application deadlines vary by program. Please check the specific program's page for details.
on_campus_housing,residence halls,Explore on-campus housing options here: https://nau.edu/residence-life/.
course_catalog,classes offered,You can browse NAU's course offerings here: https://catalog.nau.edu/Courses/.
application_deadlines,when to apply,Undergraduate priority deadlines are March 1 for Fall and September 15 for Spring.
fafsa_info,apply for aid,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
degree_programs,degree programs,Explore NAU's degree programs here: https://catalog.nau.edu/Catalog/.
housing_application,apply for housing,Submit your housing application through the Housing Portal: https://nau.edu/residence-life/housing-portal/.
on_campus_housing,residence halls,Explore on-campus housing options here: https://nau.edu/residence-life/.
student_organizations,student organizations,Discover student organizations at NAU here: https://nau.edu/student-life/.
on_campus_housing,residence halls,Explore on-campus housing options here: https://nau.edu/residence-life/.
housing_application,housing application,Submit your housing application through the Housing Portal: https://nau.edu/residence-life/housing-portal/.
fafsa_info,financial aid application,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
fafsa_info,financial aid application,Complete the FAFSA at https://studentaid.gov/ and use NAU's school code: 001082.
campus_events,events,Check out upcoming campus events here: https://nau.edu/events/.
on_campus_housing,residence halls,Explore on-campus housing options here: https://nau.edu/residence-life/.
campus_events,events,Check out upcoming campus events here: https://nau.edu/events/.
admission_process,enroll,You can start your application process here: https://nau.edu/admissions.
on_campus_housing,on-campus housing,Explore on-campus housing options here: https://nau.edu/residence-life/.
financial_aid_options,financial aid,Learn about financial aid options at NAU here: https://nau.edu/office-scholarships-financial-aid/.
admission_process,apply,"To apply to NAU, visit the Admissions page at https://nau.edu/admissions."
